date,close,volume,open,high,low,DoJ Index,Nasdaq Index,P/E ratio,Wiki Traffic,Stochastic Oscillator,Stochastic_Move,William %R,RSI,RSI_Move,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_RSI,Wiki_RSI_Move,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_RSI,Google_RSI_Move,Target1,Target2,Target3,Target4,Target5
1/2/15,109.330002,53204600,111.389999,111.440002,107.349998,17832.99,4726.810059,14.74,19398,36.07522684,0,-63.92477316,44.37898708,0,19007.5,19485.66667,19454.5,19231.4,18886.16667,18875.14286,18901,19219.88889,19795.4,19435.66667,18988.53333,19723.14545,99.55009665,100.8662916,97.9924629,105.7745788,1059,5.774578767,1,1,1,1,0,69.00475543,1,1990,1826.666667,1735,1389.8,1414.833333,1418.428571,1422.375,1416.555556,1428.9,1970,1619.866667,1612.736364,133.5766423,175.5648295,170.760725,27111.11111,2431,177.4452555,1,1,1,1,1,61.35790005,1,0,0,0,0,1
1/5/15,106.25,64285500,108.290001,108.650002,105.410004,17501.65,4652.569824,14.32,11540,8.974322951,0,-91.02567705,41.92949399,0,15469,16518.33333,17499.25,17871.6,17949.5,17836.71429,17958.25,18083.11111,18451.9,15512.83333,16667.6,17195.19091,69.86176975,64.57172273,62.54098494,59.60435928,-7821,-40.39564072,0,0,0,0,0,22.9489934,0,2360,2086.666667,1940,1844,1538.166667,1538.428571,1526.125,1517.666667,1502.9,2053.333333,1686.533333,1644.190909,109.2651757,123.6442516,151.7067004,156.1643836,820,56.55172414,0,1,1,0,0,93.82477808,1,1,0,1,0,1
1/6/15,106.260002,65797100,106.540001,107.43,104.629997,17371.64,4592.740234,14.33,12421,16.075,1,-83.925,45.0921766,1,11980.5,14453,15494,16483.6,16963.16667,17159.71429,17159.75,17343,17516.9,14469.66667,16054.73333,16590.37273,85.94063516,75.35368487,70.90866535,60.76215634,-8021,-39.23784366,1,0,0,1,1,22.07468212,0,2360,2386.666667,2175,2040,1943.333333,1667,1651.125,1627.666667,1609.9,2263.333333,2042.666667,1760.827273,102.2346369,119.6078431,151.5622088,162.6666667,940,62.25165563,1,1,1,0,1,87.69230769,0,1,1,1,1,0
1/7/15,107.75,40105900,107.199997,108.199997,106.699997,17584.52,4650.470215,14.53,11927,30.76926036,1,-69.23073964,52.49003959,1,12174,11962.66667,13821.5,14780.6,15724.16667,16243.71429,16505.625,16578.33333,16801.4,13190,14964.73333,15915.14545,99.7018502,80.6936119,70.98813194,64.06510179,-6690,-35.93489821,0,0,0,1,1,14.03834783,0,2380,2346.666667,2370,2204,2086.666667,1997.142857,1748.625,1725.444444,1696.9,2353.333333,2133.333333,1810.190909,98.86363636,105.2631579,136.719901,150.6493506,780,50.64935065,0,0,1,0,0,79.71014493,0,1,1,1,1,1
1/8/15,111.889999,59364500,109.230003,112.150002,108.699997,17907.87,4736.189941,15.08,12579,71.59765286,1,-28.40234714,55.75138067,1,12253,12309,12116.75,13573,14413.66667,15274.85714,15785.625,16069.33333,16178.4,12270.83333,14046.73333,15523.96364,102.1935169,92.67663744,77.75181724,64.84689143,-6819,-35.15310857,1,1,0,1,1,21.69510594,1,2295,2343.333333,2327.5,2350,2215,2112.857143,2031.25,1806.555556,1779.9,2308.333333,2226,1869.009091,96.87055477,96.59574468,127.5352548,93.03278689,-170,-11.03896104,0,0,1,0,0,76.25899281,0,1,1,1,1,0
1/9/15,112.010002,53699500,112.669998,113.25,110.209999,17737.37,4704.069824,15.1,11963,72.7811144,1,-27.2188856,48.26464227,0,12271,12156.33333,12222.5,12086,13304.66667,14063.57143,14860.875,15360.88889,15658.7,12136,13036.33333,14986.75455,98.40960816,98.98229356,76.39842388,103.6655113,423,3.665511265,0,0,0,0,1,14.59860966,0,2295,2303.333333,2337.5,2326,2345,2230,2138.75,2063.333333,1857.9,2331.666667,2340,1941.918182,100.723589,99.74204643,124.8721675,101.754386,40,2.919708029,1,0,1,1,1,38.88888889,0,1,0,0,0,0
1/12/15,109.25,49650800,112.599998,112.629997,108.800003,17640.84,4664.709961,14.73,12245,45.56215976,0,-54.43784024,43.77767124,0,12104,12262.33333,12178.5,12227,12112.5,13153.28571,13836.25,14570.22222,15049.3,12200.66667,12139,14539.42727,99.85864572,100.1472152,81.36591071,98.58304484,-176,-1.416955157,1,1,0,1,0,62.05128205,1,2310,2296.666667,2302.5,2330,2321.666667,2338.571429,2238.75,2156.666667,2087,2301.666667,2317.333333,2125.727273,100.1451379,98.71244635,110.2060374,94.26229508,-140,-9.655172414,0,0,0,0,0,52.5,1,1,0,1,0,1
1/13/15,110.220001,67091900,111.43,112.800003,108.910004,17613.68,4661.5,14.86,11649,55.12824458,1,-44.87175542,43.2472663,0,11947,11952.33333,12109,12072.6,12130.66667,12046.28571,12965.25,13593.22222,14278.1,11955.66667,12034.33333,13800.08182,97.46214128,96.49122807,81.5864856,97.66915402,-278,-2.33084598,0,0,0,0,0,35.37878788,0,2205,2243.333333,2250,2264,2293.333333,2291.428571,2310,2224.444444,2152,2203.333333,2256.666667,2144.363636,94.0564636,93.19787986,98.04832714,90.94827586,-210,-14.58333333,0,0,0,0,0,11.62790698,0,0,0,0,0,0
1/14/15,109.800003,48337000,109.040001,110.489998,108.5,17427.09,4639.319824,14.8,12207,50.98625247,0,-49.01374753,43.20436869,0,11928,12033.66667,12016,12128.6,12095,12141.57143,12066.375,12881,13454.6,12079.66667,12117.4,13227.76364,101.4404033,100.646406,90.72733489,97.0426902,-372,-2.957309802,1,1,1,1,0,55.17751479,1,2125,2183.333333,2217.5,2228,2243.333333,2271.428571,2272.5,2291.111111,2216,2191.666667,2222.666667,2202.181818,98.01526718,96.0502693,96.57039711,94.27312775,-130,-8.441558442,1,0,0,1,1,23.52941176,1,1,1,0,0,1
1/15/15,106.82,60014000,110,110.059998,106.660004,17320.71,4570.819824,14.4,13168,21.59766272,0,-78.40233728,38.52277311,0,12687.5,12341.33333,12317.25,12246.4,12301.83333,12248.28571,12269.875,12188.77778,12909.7,12600.83333,12475.06667,12956.66364,106.6983578,107.5254769,102.0008211,110.0727242,1205,10.07272423,1,1,1,1,1,59.77431132,1,2190,2163.333333,2197.5,2222,2230,2242.857143,2267.5,2268.888889,2286,2211.666667,2232,2277.636364,103.5439137,100.810081,97.98775153,96.55172414,-80,-888.8888889,1,0,1,1,0,46.15384615,1,1,0,0,0,1
